userid,venueid,timestamp
Ilyn_Payne,King's Landing,2020-01-01T08:18:44.0
Ilyn_Payne,King's Landing,2020-01-01T08:21:47.0
Arya_Stark,King's Landing,2020-01-01T08:21:47.0
Yoren,King's Landing,2020-01-01T08:21:47.0
Arya_Stark,King's Landing,2020-01-01T08:22:09.0
Yoren,King's Landing,2020-01-01T08:22:09.0
Marillion,King's Landing,2020-01-01T08:29:36.0
Joffrey_Baratheon,King's Landing,2020-01-01T08:29:36.0
Ilyn_Payne,King's Landing,2020-01-01T08:29:36.0
Meryn_Trant,King's Landing,2020-01-01T08:29:36.0
Joffrey_Baratheon,King's Landing,2020-01-01T08:32:16.0
Meryn_Trant,King's Landing,2020-01-01T08:32:16.0
Grand_Maester_Pycelle,King's Landing,2020-01-01T08:56:17.0
Grand_Maester_Pycelle,King's Landing,2020-01-01T08:56:36.0
Petyr_Baelish,King's Landing,2020-01-01T08:58:42.0
Joffrey_Baratheon,King's Landing,2020-01-01T08:58:42.0
Yoren,King's Landing,2020-01-01T08:59:22.0
Arya_Stark,King's Landing,2020-01-01T08:59:22.0
Yoren,King's Landing,2020-01-01T08:59:32.0
Arya_Stark,King's Landing,2020-01-01T08:59:32.0
Arya_Stark,King's Landing,2020-01-01T09:01:47.0
Lommy_Greenhands,King's Landing,2020-01-01T09:01:47.0
Yoren,King's Landing,2020-01-01T09:01:47.0
Joffrey_Baratheon,King's Landing,2020-01-01T09:13:49.0
Meryn_Trant,King's Landing,2020-01-01T09:13:49.0
Joffrey_Baratheon,King's Landing,2020-01-01T09:17:35.0
Tommen_Baratheon,King's Landing,2020-01-01T09:17:35.0
Meryn_Trant,King's Landing,2020-01-01T09:17:35.0
Tyrion_Lannister,King's Landing,2020-01-01T09:17:35.0
Grand_Maester_Pycelle,King's Landing,2020-01-01T09:19:54.0
Petyr_Baelish,King's Landing,2020-01-01T09:19:54.0
Tyrion_Lannister,King's Landing,2020-01-01T09:19:54.0
Tyrion_Lannister,King's Landing,2020-01-01T09:21:31.0
Tyrion_Lannister,King's Landing,2020-01-01T09:48:02.0
Petyr_Baelish,King's Landing,2020-01-01T09:50:47.0
Joffrey_Baratheon,King's Landing,2020-01-01T09:58:43.0
Barra,King's Landing,2020-01-01T10:01:13.0
Tobho_Mott,King's Landing,2020-01-01T10:02:04.0
Tyrion_Lannister,King's Landing,2020-01-01T10:10:49.0
Alton_Lannister,King's Landing,2020-01-01T10:11:38.0
Tyrion_Lannister,King's Landing,2020-01-01T10:11:38.0
Grand_Maester_Pycelle,King's Landing,2020-01-01T10:11:38.0
Petyr_Baelish,King's Landing,2020-01-01T10:11:38.0
Tyrion_Lannister,King's Landing,2020-01-01T10:12:55.0
Grand_Maester_Pycelle,King's Landing,2020-01-01T10:12:55.0
Petyr_Baelish,King's Landing,2020-01-01T10:12:55.0
Petyr_Baelish,King's Landing,2020-01-01T10:23:21.0
Brothel_Customer,King's Landing,2020-01-01T10:23:21.0
Petyr_Baelish,King's Landing,2020-01-01T10:26:50.0
Tyrion_Lannister,King's Landing,2020-01-01T10:27:05.0
Tyrion_Lannister,King's Landing,2020-01-01T10:30:05.0
Tyrion_Lannister,King's Landing,2020-01-01T10:30:36.0
Tyrion_Lannister,King's Landing,2020-01-01T10:48:36.0
Tyrion_Lannister,King's Landing,2020-01-01T11:15:25.0
Tommen_Baratheon,King's Landing,2020-01-01T11:16:53.0
Tyrion_Lannister,King's Landing,2020-01-01T11:20:25.0
Grand_Maester_Pycelle,King's Landing,2020-01-01T11:20:25.0
